pid,label,label_en,label_es,label_fr,link,section,genre,claimed_genre,claimed_genre_en,claimed_genre_es,claimed_genre_fr,access,status,language,creators,stewards,blurb_orig,blurb_en,blurb_es,blurb_fr,related_to,added_by,twitter,census_year,notes
cds195,Keywords for Caribbean Studies,,Palabras claves para el estudio del Caribe,,https://caribbeandigitalnyc.net/keywords/,Cabinet of Wonders,Sui Generis,a collaborative digital project,a collaborative digital project,un proyecto digital colaborativo,,open,Active,en,Kelly Josephs and Roopika Risam,,"The Keywords for Caribbean Studies project launched in December 2020 as part of The Caribbean Digital VII. This collaborative digital project aims to build a collection of words that serve as rich sites for research and pedagogy in Caribbean studies. Modeled on Digital Pedagogy in the Humanities, the Keywords for Caribbean Studies collection is intended to be the beginning of a project that will grow with future Caribbean Digital events each year. It is our hope that the project will not so much concretize and “fix” ideas of what is important in Caribbean studies but, rather, open avenues for questioning the central nodes of scholarly inquiry and teaching about the Caribbean across disciplines.","The Keywords for Caribbean Studies project launched in December 2020 as part of The Caribbean Digital VII. This collaborative digital project aims to build a collection of words that serve as rich sites for research and pedagogy in Caribbean studies. Modeled on Digital Pedagogy in the Humanities, the Keywords for Caribbean Studies collection is intended to be the beginning of a project that will grow with future Caribbean Digital events each year. It is our hope that the project will not so much concretize and “fix” ideas of what is important in Caribbean studies but, rather, open avenues for questioning the central nodes of scholarly inquiry and teaching about the Caribbean across disciplines.","El proyecto &quot;Palabras clave para el estudio del Caribe&quot; se inicia en diciembre de 2020 como parte del Caribe Digital VII. Este proyecto digital colaborativo tiene como objetivo construir una colección de palabras que sirven como nodos prometedores para la investigación y la pedagogía en los estudios del Caribe. Modelado en base a la pedagogía digital en las humanidades, Palabras clave pretende ser el comienzo de un proyecto que crecerá con futuros eventos digitales del Caribe cada año. Esperamos que el proyecto no concretará tanto y &quot;arreglar&quot; ideas de lo que es importante en los estudios del Caribe, sino, más bien, abrir las vías para cuestionar los nodos centrales de la investigación académica y la enseñanza sobre el Caribe en todas las disciplinas.",,,Alex Gil,@elotroalex,2021,
cds22,Caribbean Literary Heritage,,Herencia literaria del Caribe,,https://www.caribbeanliteraryheritage.com/,Cabinet of Wonders,Sui Generis,a project,a project,un proyecto,,open,Active,en,Project team led by Alison Donnell,,"Caribbean Literary Heritage is a project funded by the Leverhulme Trust that promotes literary and archival preservation in the Caribbean and the diaspora, as well as bridging connections between the literary past and present with an interest in exploring the new challenges and possibilities of born digital initiatives.","Caribbean Literary Heritage is a project funded by the Leverhulme Trust that promotes literary and archival preservation in the Caribbean and the diaspora, as well as bridging connections between the literary past and present with an interest in exploring the new challenges and possibilities of born digital initiatives.","El patrimonio literario del Caribe es un proyecto financiado por el Fondo Leverhulme que promueve la preservación literaria y de archivo en el Caribe y la diáspora, así como en los puentes entre el pasado literario y el presente, con interés en explorar los nuevos desafíos y posibilidades de las iniciativas nacidas nacidas digitales.",,,Nadine Zubair,@NadineZubair,2020,
cds30,Coasts in Crisis: Caribbean Arts and Cultures after Hurricanes,,Costas en crisis: Arte y cultura caribeñas después de huracanes ,,http://coastsincrisis.net/,Cabinet of Wonders,Sui Generis,a platform,a platform,una plataforma,,open,In Development,"en,es",Charlotte Rogers,University of Virginia,This a digital space that explores the cultural meaning of the hurricane through Caribbean art. It features work from artists who experienced Hurricanes Irma and María in 2017 and gathered at the University of Virginia on September 2019 to present and discuss their work.,This a digital space that explores the cultural meaning of the hurricane through Caribbean art. It features work from artists who experienced Hurricanes Irma and María in 2017 and gathered at the University of Virginia on September 2019 to present and discuss their work.,Este es un espacio digital que explora el significado cultural del huracán a través del arte caribeño. Cuenta con trabajo de artistas que vivieron los huracanes Irma y María en 2017 y se reunieron en la Universidad de Virginia en septiembre de 2019 para presentar y discutir su trabajo.,,,Winnie Pérez Martínez,@_wepm,2020,
cds33,Carisealand,,Caribe mar tierra,,http://archipelagosjournal.org/issue04/esprit-carisealand.html,Cabinet of Wonders,Sui Generis,digital research project,a digital research project,un proyecto de investigación digital,,open,In Development,en,Schuyler Esprit,,"The Carisealand (Caribbean Sea and Land) digital research project, launched in 2015 by scholar, teacher, and activist Schuyler K Esprit, provides an interactive framework within which to imagine a more sustainable way of life for Caribbean people, both in the present day and in the future. The project aims to create awareness around the impact of climate change in the Caribbean region; to initiate and sustain collaborations with scholars and artists in an effort to find solutions to social injustices resulting from climate change activity; and to present models for alternate Caribbean futures.","The Carisealand (Caribbean Sea and Land) digital research project, launched in 2015 by scholar, teacher, and activist Schuyler K Esprit, provides an interactive framework within which to imagine a more sustainable way of life for Caribbean people, both in the present day and in the future. The project aims to create awareness around the impact of climate change in the Caribbean region; to initiate and sustain collaborations with scholars and artists in an effort to find solutions to social injustices resulting from climate change activity; and to present models for alternate Caribbean futures.","El proyecto de investigación digital de Carisealand (Caribe Mar y Tierra), lanzado en 2015 por académica, maestra y activista Schuyler K Esprit, proporciona un marco interactivo dentro del cual se imagina una forma de vida más sostenible para las personas del Caribe, tanto en la actualidad como en el futuro. El objetivo del proyecto debe crear conciencia en torno al impacto del cambio climático en la región del Caribe; iniciar y mantener colaboraciones con académicos y artistas en un esfuerzo por encontrar soluciones a las injusticias sociales resultantes de la actividad del cambio climático; y presentar modelos para futuros alternativos del Caribe.",,,Kaiama L. Glover,@inthewhirld,2020,
cds39,Dark Laboratory,,Laboratorio Oscuro,,https://www.darklaboratory.com/,Cabinet of Wonders,Sui Generis,a laboratory,a laboratory,un laboratorio,,open,Active,en, Tao Leigh Goffe Jeffrey Palmer,,"The Dark Laboratory is an engine for collaboration, design, and study of Black and Indigenous ecologies through creative technology.","The Dark Laboratory is an engine for collaboration, design, and study of Black and Indigenous ecologies through creative technology.","El laboratorio oscuro es un motor de colaboración, diseño y estudio de ecologías negras e indígenas a través de la tecnología creativa.",,,Tao Leigh Goffe,@taoleighgoffe,2020,
cds43,dLOC as Data: A Thematic Approach to Caribbean Newspapers,,dLOC como datos: un enfoque temático para los periódicos caribeños,,http://dlocasdata.domains.uflib.ufl.edu/,Cabinet of Wonders,Sui Generis,an initiative,an initiative,una iniciativa,,open,In Development,en,"Perry Collins, Hadassah St. Hubert, Miguel Asencio, Jamie Rogers; http://dlocasdata.domains.uflib.ufl.edu/project-team/",Florida International University; University of Florida; Digital Library of the Caribbean,"Funded by the Collections as Data program with support from the Mellon Foundation, this project will enhance access to existing Caribbean newspaper digital collections by making texts available for bulk download to its users. This will facilitate modes of scholarship that depend on access to image and textual data at scale and will enable a new level of access to titles not included in newspaper data resources such as Chronicling America. To meet the needs of the dLOC community for teaching and research, we will demonstrate the potential of newspaper data by creating a pilot thematic tool kit focused on hurricanes and tropical cyclones.","Funded by the Collections as Data program with support from the Mellon Foundation, this project will enhance access to existing Caribbean newspaper digital collections by making texts available for bulk download to its users. This will facilitate modes of scholarship that depend on access to image and textual data at scale and will enable a new level of access to titles not included in newspaper data resources such as Chronicling America. To meet the needs of the dLOC community for teaching and research, we will demonstrate the potential of newspaper data by creating a pilot thematic tool kit focused on hurricanes and tropical cyclones.","Financiado por el programa &quot;Collections as Data&quot; (Colecciones como datos) con el apoyo de la Fundación Mellon, este proyecto mejorará el acceso a las colecciones digitales de los periódicos del Caribe existentes al hacer que los textos estén disponibles para descargar a granel a sus usuarios. Esto facilitará los modos de estudio que dependen del acceso a la imagen y los datos textuales a escala y permitirá un nuevo nivel de acceso a los títulos no incluidos en los recursos de datos de periódicos, como Chronicling America. Para satisfacer las necesidades de la comunidad DLOC para la enseñanza y la investigación, demostraremos el potencial de los datos del periódico al crear un kit de herramientas temáticos piloto enfocado en huracanes y ciclones tropicales.",,cds31,Perry Collins,@perrycollins,2020,
cds49,Create Caribbean,,Crear Caribe,,http://createcaribbean.org/create/,Cabinet of Wonders,Sui Generis,a digital humanities center,a digital humanities center,un centro de humanidades digitales,,open,Active,en,Schuyler Esprit,,"Create Caribbean Inc. aims to develop the creative capacity of youth in Dominica and the Eastern Caribbean through a focus on education and research in the arts, humanities and social sciences. Our goal is to foster a culture of intellectual inquiry, encourage the use of digital technology in academic research, and increase outreach and community participation in the preservation and dissemination of Caribbean history, heritage and other research areas of significance.","Create Caribbean Inc. aims to develop the creative capacity of youth in Dominica and the Eastern Caribbean through a focus on education and research in the arts, humanities and social sciences. Our goal is to foster a culture of intellectual inquiry, encourage the use of digital technology in academic research, and increase outreach and community participation in the preservation and dissemination of Caribbean history, heritage and other research areas of significance.","Crear Caribe, Inc. apunta a desarrollar la capacidad creativa de los jóvenes en Dominica y el Caribe oriental a través de un enfoque en la educación y la investigación en las artes, humanidades y ciencias sociales. Nuestro objetivo es fomentar una cultura de curiosidad intelectual, fomentar el uso de la tecnología digital en la investigación académica y aumentar la participación de la comunidad en la preservación y difusión de la historia del Caribe, su herencia y otras áreas de importancia para la investigación.",,,Alex Gil,@elotroalex,2020,
cds69,Freedom to Believe,,Libertad para Creer,,https://www.freedomtobelieve.info/,Cabinet of Wonders,Sui Generis,project,a project,un proyecto,,open,Active,en,Diana Paton et al.,University of Edinburgh,"Welcome to Freedom to Believe, part of a theatre in education project exploring Caribbean social and religious histoires led by Diana Paton and funded by the Arts and Humanities Research Council.","Welcome to Freedom to Believe, part of a theatre in education project exploring Caribbean social and religious histoires led by Diana Paton and funded by the Arts and Humanities Research Council.","Bienvenido a la Libertad de creer, parte de un proyecto de teatro educacional que explora las historias sociales y religiosas del Caribe, dirigido por Diana Paton y financiado por el Consejo de Investigación de Artes y Humanidades.",,,Roopika Risam,@roopikarisam,2020,
cds7,Banjology,,Banjología,,https://sites.duke.edu/banjology/the-banjo-in-haiti/,Cabinet of Wonders,Sui Generis,showcase,a showcase,un escaparate,,open,Stable,en,Laurent Dubois  David Garner  Mary Caton Lingold,Duke University,"The banjo has a rich history in the Caribbean, the region where we first find the traces of the instrument in the 17th century. Indeed, it seems that it is in the Caribbean that the instrument first emerged and was consolidated, for there is about a fifty year lag between the first sources we have describing the instrument in this region, from the 1680s, and those from North America, which are from the late 1730s. Here, we offer a few avenues for understanding the fascinating history of the banjo in the Caribbean.","The banjo has a rich history in the Caribbean, the region where we first find the traces of the instrument in the 17th century. Indeed, it seems that it is in the Caribbean that the instrument first emerged and was consolidated, for there is about a fifty year lag between the first sources we have describing the instrument in this region, from the 1680s, and those from North America, which are from the late 1730s. Here, we offer a few avenues for understanding the fascinating history of the banjo in the Caribbean.","El banjo tiene una rica historia en el Caribe, la región donde encontramos las primeras huellas del instrumento en el siglo XVII. De hecho, parece que es en el Caribe que emergió el instrumento por primera vez y se consolidó, ya que hay alrededor de un retraso de cincuenta años entre las primeras fuentes que mencionan el instrumento en esta región, desde las 1680, y las de América del Norte, que son de finales de la década de 1730. Aquí, ofrecemos algunas avenidas para comprender la fascinante historia del banjo en el Caribe.",,,,,2020,
cds81,In Whispers and Furtive Glances: Assessing Cuban Digital Literacies and (H)ac(k)tivism in Post-Embargo Cuba,,En susurros y miradas furtivas: evaluación de las alfabetizaciones digitales cubanas y el (h)ac(k)tivismo en la Cuba posterior al embargo,,https://marktriana.wixsite.com/whispersandglances,Cabinet of Wonders,Sui Generis,a project proposal,a project proposal,una propuesta de proyecto,,open,In Development,en,Mark Daniel Triana,,"&quot; In Whispers and Furtive Glances: Assessing Cuban Digital Literacies and (H)ac(k)tivism in Post-Embargo Cuba&quot;  is a prospective digital humanities project that discusses the ways in which Cuban peoples have cultivated a unique and compelling digital presence in the twenty-first century despite the many challenges that have been posed by surveillance, lack of material access, and severe network and hardware limitations.","&quot; In Whispers and Furtive Glances&quot; is a prospective digital humanities project that discusses the ways in which Cuban peoples have cultivated a unique and compelling digital presence in the twenty-first century despite the many challenges that have been posed by surveillance, lack of material access, and severe network and hardware limitations.","&quot;En susurros y miradas furtivas&quot; es un proyecto de humanidades digitales que discute las formas en que los pueblos cubanos han cultivado una presencia digital única y convincente en el siglo XXI a pesar de los muchos desafíos que se han planteado por la vigilancia, la falta de acceso material y las limitaciones severas de la red y de hardware.",,,Roopika Risam,@roopikarisam,2020,
cds82,In All My Dreams,,,,http://iamdbookclub.com,Cabinet of Wonders,Sui Generis,exhibit,an exhibit,una exposición,,open,Active,en,"Kaiama L. Glover, Laurent Dubois",Barnard College,"The “In All My Dreams” book club, held from October 2019 to February 2020 was an informal gathering of readers interested in discovering or exploring Haitian culture through the prism of one of Haiti’s most important works of literary fiction.","The &quot;In All My Dreams&quot; book club, held from October 2019 to February 2020 was an informal gathering of readers interested in discovering or exploring Haitian culture through the prism of one of Haiti’s most important works of literary fiction.","El club de libros &quot;En todos mis sueños&quot;, celebrado de octubre de 2019 hasta febrero de 2020 fue una reunión informal de lectores interesados ​​en descubrir o explorar la cultura haitiana a través del prisma de una de las obras más importantes de la ficción literaria de Haití.",,,Kaiama L. Glover,@inthewhirld,2020,😍
cds85,Guantánamo Public Memory Project,,Proyecto de memoria pública de Guantánamo,,https://gitmomemory.org/stories/,Cabinet of Wonders,Sui Generis,a project,a project,un proyecto,,open,Active,en,Columbia University Center for the Study of Human Rights,Columbia University Center for the Study of Human Rights,What can we learn from GTMO’s past? What should we remember about what’s happening now? Hear from those who were there.,What can we learn from Guantánamos past? What should we remember about what’s happening now? Hear from those who were there.,¿Qué podemos aprender del pasado de Guantánamo? ¿Qué debemos recordar lo que está sucediendo ahora? Escucha de los que estaban allí.,,,Roopika Risam,@roopikarisam,2020,
cds100,Le marronnage dans le monde atlantique: Sources et trajectoires de vie,Marronage in the Atlantic World: Sources and Life Trajectories,Cimarronaje en el mundo Atlántico: Fuentes y trayectorias de vida,,http://www.marronnage.info/fr/index.html,Collections & Curations,Thematic Curations,a corpus,a corpus,un corpus,,open,Stable,fr,Jean-Pierre Le Glaunec Léon Robichaud,Université de Sherbrooke Groupe d'Histoire de l'Atlantique Français Fonds de Recherche Société et Culture Québec Conseil de Recherche en Sciences Humaines du Canada ,"Initiative portée par le Groupe d'histoire de l'Atlantique Français (FRQSC) en collaboration avec le projet « SHADD Biography Project: Testimonies of West Africans from the Era of the Slave Trade » (CRSH) , « Le marronnage dans le monde atlantique » vise à décloisonner les archives de l'esclavage. En ligne depuis 2009, cette plateforme permet d’interroger un corpus inédit et évolutif composé de plus de 20 000 documents portant sur l’une des principales formes de résistance à l’esclavage.","Initiative led by the French Atlantic History Group (FRQSC) in collaboration with the project ""SHADD Biography Project: Testimonies of West Africans from the Era of the Slave Trade"" (CRSH), ""Le marronnage dans le monde atlantique"" aims to decompartmentalize the archives of slavery. Online since 2009, this platform makes it possible to interrogate an unprecedented and evolving corpus made up of more than 20,000 documents relating to one of the main forms of resistance to slavery.","La iniciativa liderada por el French Atlantic History Group (FRQSC) en colaboración con el proyecto ""Proyecto de biografía SHADD: Testimonios de africanos occidentales de la era de la trata de esclavos"" (CRSH), ""Le marronnage dans le monde atlantique"" (El cimarronaje en el mundo Atlantico) tiene como objetivo reunir los archivos de la esclavitud. En línea desde 2009, esta plataforma permite interrogar a un corpus inédito y en evolución compuesto por más de 20,000 documentos relacionados con una de las principales formas de resistencia a la esclavitud.",,,,,2020,
cds101,La Médi@thèque Numérique de Guadeloupe,The Digital Media Library of Guadeloupe,La Mediateca digital de Guadalupe,,https://guadeloupe.mediatheques.fr/,Collections & Curations,Digital Libraries,une médiathèque,une médiathèque,una mediateca,,open,Stable,fr,La Médiathèque Caraïbe (LAMECA),La Médiathèque Caraïbe (LAMECA),"La Médi@thèque Numérique de Guadeloupe is part of the Caribbean Media Library (LAMECA) project proposed by the General Council of Guadeloupe in order to federate documentary resources relating to the countries of the Caribbean basin by creating documentary tools making it possible to identify, locate or even exchange documents.","La Digital Media Library of Guadeloupe is part of the Caribbean Media Library (LAMECA) project proposed by the General Council of Guadeloupe in order to federate documentary resources relating to the countries of the Caribbean basin by creating documentary tools making it possible to identify, locate or even exchange documents.","La Mediateca digital de Guadalupe forma parte del proyecto del Caribe Media Library (LAMECA) propuesto por el Consejo General de Guadalupe para federar los recursos documentales relacionados con los países de la Cuenca del Caribe mediante la creación de herramientas documentales que hacen posible identificar, localizar o incluso intercambiar documentos.",,,,,2020,
